biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
2413 134 48.0 0.025 0.975 117 153 na na na na na 
2414 131 48.3 0.025 0.975 107 156 na na na na na 
2415 148 46.4 0.025 0.975 127 171 na na na na na 
2416 141 48.7 0.025 0.975 123 160 na na na na na 
2417 132 48.1 0.025 0.975 113 153 na na na na na 
2418 164 47.6 0.025 0.975 141 186 na na na na na 
2419 147 46.8 0.025 0.975 127 165 na na na na na 
2420 161 48.8 0.025 0.975 137 186 na na na na na 
2421 155 47.9 0.025 0.975 132 177 na na na na na 
2422 133 47.0 0.025 0.975 113 154 na na na na na 
2423 126 47.8 0.025 0.975 109 146 na na na na na 
2424 145 47.4 0.025 0.975 123 168 na na na na na 
2425 124 48.1 0.025 0.975 110 140 na na na na na 
2426 136 48.2 0.025 0.975 116 157 na na na na na 
2427 157 48.0 0.025 0.975 133 181 na na na na na 
2428 136 47.6 0.025 0.975 117 157 na na na na na 
2429 154 47.2 0.025 0.975 132 178 na na na na na 
2430 148 47.8 0.025 0.975 128 169 na na na na na 
2431 121 47.0 0.025 0.975 103 141 na na na na na 
2432 137 48.0 0.025 0.975 116 161 na na na na na 
2433 156 47.2 0.025 0.975 135 179 na na na na na 
2434 133 48.3 0.025 0.975 111 156 na na na na na 
2435 146 47.4 0.025 0.975 123 171 na na na na na 
2436 132 48.0 0.025 0.975 112 154 na na na na na 
2437 135 47.3 0.025 0.975 115 156 na na na na na 
2438 128 47.4 0.025 0.975 111 146 na na na na na 
2439 131 48.5 0.025 0.975 112 152 na na na na na 
2440 122 47.3 0.025 0.975 103 142 na na na na na 
2441 135 48.2 0.025 0.975 117 156 na na na na na 
2442 134 48.4 0.025 0.975 115 155 na na na na na 
2443 146 47.9 0.025 0.975 127 165 na na na na na 
2444 174 47.9 0.025 0.975 151 198 na na na na na 
2445 132 45.6 0.025 0.975 109 155 na na na na na 
2446 160 47.9 0.025 0.975 140 182 na na na na na 
2447 132 47.2 0.025 0.975 114 151 na na na na na 
2448 152 48.1 0.025 0.975 129 176 na na na na na 
2449 137 47.7 0.025 0.975 117 157 na na na na na 
2450 141 47.9 0.025 0.975 119 165 na na na na na 
2451 102 48.5 0.025 0.975 87.5 118 na na na na na 
2452 152 47.3 0.025 0.975 130 176 na na na na na 
2453 122 48.0 0.025 0.975 103 143 na na na na na 
2454 147 48.0 0.025 0.975 127 170 na na na na na 
2455 134 48.4 0.025 0.975 116 154 na na na na na 
2456 150 47.3 0.025 0.975 126 176 na na na na na 
2457 148 48.1 0.025 0.975 128 170 na na na na na 
2458 133 48.0 0.025 0.975 111 156 na na na na na 
2459 128 47.7 0.025 0.975 110 150 na na na na na 
